sample	haplotype	hap_index	assembly_name	method	version	phasing	source	total_length	n_contigs	censat_rdna_n	censat_rdna_bp	chr13_contigs	chr13_t2t	chr13_gaps	chr13_n_random	chr13_rdna_bp	chr14_contigs	chr14_t2t	chr14_gaps	chr14_n_random	chr14_rdna_bp	chr15_contigs	chr15_t2t	chr15_gaps	chr15_n_random	chr15_rdna_bp	chr21_contigs	chr21_t2t	chr21_gaps	chr21_n_random	chr21_rdna_bp	chr22_contigs	chr22_t2t	chr22_gaps	chr22_n_random	chr22_rdna_bp	unplaced_rdna_bp	censat_source	missing_files	notes
HG00408	mat	2	HG00408_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3034413423	72	41.0	4705200.0				1	273698				5	713559				3	597255				4	420331				2	1324092	1364037	local:hprc_censat		
HG00597	mat	2	HG00597_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3051568197	91	55.0	3466478.0				7	549608				7	541436				1	153975				3	192536				5	283140	1733555	local:hprc_censat		
HG01192	mat	2	HG01192_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3036873892	69	34.0	2854151.0	HG01192#2#CM085948.1	contig	0	0	54877				4	104466				3	199808				5	1451294				2	235488	795999	local:hprc_censat		
HG01261	mat	2	HG01261_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3047037491	84	42.0	4651811.0				1	186246				4	1238956				1	416830				2	489317				6	392342	1915892	local:hprc_censat		
HG02015	mat	2	HG02015_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3039596309	101	43.0	2611545.0				1	3078				6	250217				2	11993	HG02015#2#CM085905.1	contig	0	3	607674				4	275097	1451258	local:hprc_censat		
HG02056	mat	2	HG02056_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3005475260	77	34.0	2877829.0				2	304767				3	473211				2	160833				1	274498	HG02056#2#CM085889.1	contig	0	5	825683	826609	local:hprc_censat		
HG02129	mat	2	HG02129_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3018863322	71	46.0	4018551.0				1	53141				7	1708807				2	422384				3	113956				2	54625	1653410	local:hprc_censat		
HG02258	mat	2	HG02258_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3044695694	63	38.0	2854557.0	HG02258#2#CM085843.1	scaffold	2	0	237448				6	702844				3	456406				2	664257	HG02258#2#CM085847.1	contig	0	0	237243	544131	local:hprc_censat		
HG03834	mat	2	HG03834_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3035962555	86	39.0	3076941.0	HG03834#2#CM085817.1	scaffold	2	0	830642				6	168715				2	108354				4	506175				1	3055	1447771	local:hprc_censat		
HG01975	mat	2	HG01975_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3040127635	92	45.0	4322922.0				4	390929	HG01975#2#CM099819.1	contig	0	1	606999				4	613810				4	100431				1	185233	2413291	local:hprc_censat		
HG02602	mat	2	HG02602_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3028981426	63	35.0	2611187.0	HG02602#2#CM099707.1	contig	0	0	55074				6	895967				4	197111				3	740540	HG02602#2#CM099711.1	scaffold	1	0	275877	434391	local:hprc_censat		
HG04187	mat	2	HG04187_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3018615516	104	67.0	4912027.0				2	107180				2	60943				2	160010				2	149314				7	587262	3442898	local:hprc_censat		
NA18879	hap2	2	NA18879_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3044307357	87	50.0	5360926.0				3	55663				2	330943				5	169650				4	369626	NA18879#2#CM099738.1	contig	0	1	413096	4009729	local:hprc_censat		
NA20752	hap2	2	NA20752_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3046817492	89	64.0	7389069.0				3	1897050				7	2140462				4	506319	NA20752#2#CM099794.1	scaffold	1	2	525863				4	679598	1627549	local:hprc_censat		
HG02145	mat	2	HG02145_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3039228012	104	47.0	3923530.0				3	491006				8	249410				4	628790				4	195744				3	287391	2062031	s3:working/HPRC_PLUS/HG02145/assemblies/release2/annotation/censat/HG02145_mat_hprc_r2_v1.0.1.cenSat.bed		
HG00609	mat	2	HG00609_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3028317463	83	47.0	2994363.0				3	99126				8	1212709				3	236238				5	399476				4	253134	784512	local:hprc_censat		
HG00642	mat	2	HG00642_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3032841024	72	35.0	3538765.0	HG00642#2#CM086627.1	scaffold	1	0	447379	HG00642#2#CM086628.1	scaffold	1	1	376707	HG00642#2#CM086629.1	contig	0	0	245095				3	317060				4	729646	1410650	local:hprc_censat		
HG00738	mat	2	HG00738_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3035371903	88	40.0	2364574.0				6	64590				3	518168				2	112309				5	89959	HG00738#2#CM086690.1	contig	0	2	317751	1249569	local:hprc_censat		
HG01099	mat	2	HG01099_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3027137317	90	40.0	2110968.0				1	319973				3	113305				2	63289				2	283099				8	815720	503354	local:hprc_censat		
HG01255	mat	2	HG01255_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3036246204	63	35.0	3478425.0				1	413464				9	1615024				2	11993				1	97433				4	914562	413721	local:hprc_censat		
HG01346	mat	2	HG01346_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3033882538	81	42.0	2797054.0				1	357751				3	426054				3	241385				3	246127	HG01346#2#CM086608.1	scaffold	2	3	518217	995292	local:hprc_censat		
HG01433	mat	2	HG01433_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3040252714	75	47.0	4465265.0				1	233218				2	333558				1	261133				2	107467				6	621281	2896380	local:hprc_censat		
HG01496	mat	2	HG01496_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3041838816	50	25.0	3087586.0	HG01496#2#CM086395.1	scaffold	1	1	1346562				7	594672	HG01496#2#CM086396.1	contig	0	0	496967				2	233234				2	239915	164007	local:hprc_censat		
HG01884	mat	2	HG01884_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3057354013	83	54.0	3750342.0				5	145101				5	201569				3	346007				8	1012958	HG01884#2#CM086432.1	contig	0	1	188674	1843805	local:hprc_censat		
HG01981	mat	2	HG01981_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3035425843	77	51.0	4281473.0				1	224571				5	58008				3	108947	HG01981#2#CM086344.1	contig	0	1	648996				5	423652	2805071	local:hprc_censat		
HG01993	mat	2	HG01993_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3033018329	95	48.0	5666325.0				2	254264				2	648943				5	1680667				5	625414				8	519513	1928356	local:hprc_censat		
HG02004	mat	2	HG02004_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3030382749	100	43.0	3014585.0				2	153179				2	228237				1	19065				3	796931				4	385525	1419420	local:hprc_censat		
HG02027	mat	2	HG02027_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3034549029	84	38.0	3007511.0				1	189241				6	463939				2	561404				2	852787				4	293664	634248	local:hprc_censat		
HG02083	mat	2	HG02083_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3026866187	71	23.0	2204353.0				3	0	HG02083#2#CM086970.1	scaffold	1	2	423788				3	322423				1	234372				3	376314	835228	local:hprc_censat		
HG02132	mat	2	HG02132_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3031330719	80	49.0	4059151.0	HG02132#2#CM086914.1	scaffold	2	0	246801	HG02132#2#CM086915.1	contig	0	2	562513				1	64470				2	466397	HG02132#2#CM086919.1	contig	0	0	572407	2134335	local:hprc_censat		
HG02280	mat	2	HG02280_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3057568129	106	43.0	4979225.0				6	953432				7	1232427				5	560607				1	0				4	684213	1536318	local:hprc_censat		
HG02293	mat	2	HG02293_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3053515157	105	48.0	4383749.0				1	187033				4	637123				6	11993	HG02293#2#CM086244.1	scaffold	1	1	525909				5	432497	2576966	local:hprc_censat		
HG02300	mat	2	HG02300_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3042226113	102	52.0	3288422.0				2	101613				4	289264				2	239040				2	193424				5	587712	1865141	local:hprc_censat		
HG02451	mat	2	HG02451_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3026428745	79	28.0	2314396.0				1	359198				9	870425				11	233316				3	106026				2	102759	630444	local:hprc_censat		
HG02523	mat	2	HG02523_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3034610316	60	45.0	3747941.0				1	499159				4	778241	HG02523#2#CM086945.1	contig	0	0	326269				1	54365	HG02523#2#CM086949.1	contig	0	2	352243	1725445	local:hprc_censat		
HG02615	mat	2	HG02615_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3032008360	75	40.0	3055457.0				2	52699				5	750183				12	466079				5	306451	HG02615#2#CM086701.1	scaffold	1	0	552450	918438	local:hprc_censat		
HG02647	mat	2	HG02647_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3026852967	73	42.0	2429573.0				2	0				4	153398				4	111334				4	432979				5	142474	1577161	local:hprc_censat		
HG02698	mat	2	HG02698_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3037133556	66	37.0	2809058.0				2	274349				5	494013				2	174226				3	682339				1	180917	990986	local:hprc_censat		
HG03654	mat	2	HG03654_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3036093333	101	47.0	3751429.0				4	185782				8	386080				3	332094				1	289439				10	536282	2009524	local:hprc_censat		
HG03669	mat	2	HG03669_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3029875034	77	45.0	2048420.0				1	8342				2	203271				1	155853				7	450376				3	447030	771320	local:hprc_censat		
HG03688	mat	2	HG03688_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3038142852	97	58.0	4415096.0				1	634709				1	236481				1	62213				2	508256				6	398892	2562317	local:hprc_censat		
HG03704	mat	2	HG03704_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3041321948	64	28.0	1807824.0				6	288583				4	419378				2	198640	HG03704#2#CM086199.1	contig	0	0	143034				3	329103	416858	local:hprc_censat		
HG03710	mat	2	HG03710_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3025781520	70	44.0	4130360.0				2	144006	HG03710#2#CM086888.1	contig	0	5	625241				3	782903				2	53484				4	333418	2179080	local:hprc_censat		
HG03831	mat	2	HG03831_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3039164635	117	58.0	4473867.0				1	185580				10	381184				1	18968				8	1621665				4	534629	1719613	local:hprc_censat		
HG03927	mat	2	HG03927_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3033445725	95	53.0	3981357.0				3	56156	HG03927#2#CM086666.1	contig	0	4	722479				1	299265				2	189465				4	423413	2278351	local:hprc_censat		
HG04115	mat	2	HG04115_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3058113536	99	52.0	4479889.0				3	657449	HG04115#2#CM086771.1	contig	0	3	195815				1	329172				5	327818				4	378164	2579243	local:hprc_censat		
HG04184	mat	2	HG04184_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3033913796	96	60.0	4194902.0				4	196063				4	309646				2	153655				2	44095				5	378470	3100745	local:hprc_censat		
HG04199	mat	2	HG04199_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3027949327	83	51.0	4116999.0				1	321226				3	515449				1	155600				3	473090				7	449625	2189781	local:hprc_censat		
HG02738	mat	2	HG02738_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3038222761	65	31.0	3628152.0				1	386524				7	1374355				4	152125				2	324576				2	510635	867710	local:hprc_censat		
HG00621	mat	2	HG00621_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3022746725	56	36.0	3980604.0				1	180822				2	658089				1	476664				3	102846	HG00621#2#CM087875.1	contig	0	4	991538	1558417	local:hprc_censat		
HG00741	mat	2	HG00741_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3052201995	73	37.0	3059070.0				1	413321				6	868287				1	20266				4	562881				3	200406	984741	local:hprc_censat		
HG01106	mat	2	HG01106_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3026705730	84	43.0	2645276.0				4	0				2	179310				1	65223				3	3078				2	234030	2151407	local:hprc_censat		
HG01175	mat	2	HG01175_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3038269162	59	31.0	2601946.0				2	100753				3	281063	HG01175#2#CM087945.1	contig	0	1	377703				3	957170				4	425673	447356	local:hprc_censat		
HG01258	mat	2	HG01258_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3039835784	92	54.0	6012477.0				2	447939				3	1189567				1	243979				1	192724				6	969908	2956132	local:hprc_censat		
HG01891	mat	2	HG01891_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3024502707	89	36.0	2010445.0				2	191128				6	328983				7	14780				5	353758				3	377659	731909	local:hprc_censat		
HG01952	mat	2	HG01952_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3023447555	67	44.0	3861247.0				1	54961				4	307281				1	220084				3	153483				5	1457464	1655746	local:hprc_censat		
HG02148	mat	2	HG02148_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3033077268	71	37.0	2138480.0				2	54418	HG02148#2#CM088031.1	contig	0	0	9176				2	62834				3	378735				4	107633	1513456	local:hprc_censat		
HG02486	mat	2	HG02486_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3034970076	58	35.0	3127331.0				2	192616				3	514789				1	284924				3	249116				4	654798	1218860	s3:working/HPRC/HG02486/assemblies/release2/annotation/censat/HG02486_mat_hprc_r2_v1.cenSat.bed		
HG02559	mat	2	HG02559_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3033620171	70	46.0	3501669.0				7	317415				5	253806				2	549839				1	98342				3	386060	1655511	s3:working/HPRC/HG02559/assemblies/release2/annotation/censat/HG02559_mat_hprc_r2_v1.cenSat.bed		
HG02572	mat	2	HG02572_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3043136228	81	50.0	4218036.0				1	504883				7	529359				1	330679				6	834639				4	194757	1811491	local:hprc_censat		
HG02622	mat	2	HG02622_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3042954219	113	58.0	5160706.0				4	99004				4	337209				1	223760				5	1148425				7	1202639	2137442	local:hprc_censat		
HG02886	mat	2	HG02886_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3038239621	112	65.0	4681205.0				4	0				12	1361578				6	64932				11	1188206				3	369766	1684496	local:hprc_censat		
HG03453	mat	2	HG03453_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3052597743	135	67.0	3739647.0				28	273758				8	755826				2	325822				6	401515				3	245476	1725021	local:hprc_censat		
HG03540	mat	2	HG03540_mat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3045628733	100	61.0	4989729.0				2	144247				3	842805				1	107123				2	95875				7	1112687	2674773	local:hprc_censat		
HG00099	hap2	2	HG00099_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3038703464	99	69.0	7871848.0				5	277263				14	3572948				4	469879				4	675378	HG00099#2#CM087372.1	scaffold	1	3	298598	2565554	local:hprc_censat		
HG00140	hap2	2	HG00140_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3045493630	61	41.0	5806035.0				2	1267211	HG00140#2#CM087143.1	scaffold	1	3	1138741				3	153635				3	848203	HG00140#2#CM087147.1	contig	0	2	562060	1823957	local:hprc_censat		
HG00280	hap2	2	HG00280_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3041544534	79	35.0	3433368.0	HG00280#2#CM087167.1	scaffold	1	0	322586				5	360580				1	239269				3	516879				3	416469	1565356	local:hprc_censat		
HG00323	hap2	2	HG00323_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3026270073	84	47.0	4246910.0				4	196314				3	68008				2	152756				5	634876	HG00323#2#CM087341.1	scaffold	1	2	958374	2224354	local:hprc_censat		
HG02040	hap2	2	HG02040_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3039451903	68	37.0	4568605.0				7	143950	HG02040#2#CM087411.1	scaffold	1	3	791908				3	245647				1	773376				1	3057	2598439	local:hprc_censat		
HG02165	hap2	2	HG02165_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3033793556	73	40.0	4924489.0				3	0	HG02165#2#CM087465.1	contig	0	7	1558336				1	284132				2	378689				6	1616330	1074774	local:hprc_censat		
HG02273	hap2	2	HG02273_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3051476841	90	54.0	5891879.0				2	511611				6	1604581				3	737790				8	1059538				5	686482	1279649	local:hprc_censat		
HG02922	hap2	2	HG02922_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3027370736	84	52.0	5394699.0				2	580153				3	561209				3	1090983				3	836252				2	421489	1892384	local:hprc_censat		
HG02965	hap2	2	HG02965_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3056577554	74	44.0	5080807.0	HG02965#2#CM087395.1	contig	0	3	916711				8	1326075	HG02965#2#CM087396.1	scaffold	1	0	197320				3	655867	HG02965#2#CM087401.1	contig	0	2	409016	1563591	local:hprc_censat		
HG02976	hap2	2	HG02976_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3042892018	94	45.0	5478307.0				3	1060308				5	973679				1	11993				3	272976				2	10027	3137096	local:hprc_censat		
HG03130	hap2	2	HG03130_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3040598634	99	40.0	5244191.0				7	228892	HG03130#2#CM087276.1	scaffold	2	4	403357				2	282945				2	503047				5	1634908	2178814	local:hprc_censat		
HG03195	hap2	2	HG03195_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3042992094	79	39.0	4316635.0				1	393718				8	924623	HG03195#2#CM087092.1	contig	0	4	334712				6	831776	HG03195#2#CM087098.1	contig	0	2	116374	1703204	local:hprc_censat		
HG03209	hap2	2	HG03209_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3038059664	74	35.0	2702360.0				3	53308				2	9178				3	198047				6	563867				3	392187	1473545	local:hprc_censat		
NA18522	hap2	2	NA18522_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3032450852	78	40.0	3447059.0	NA18522#2#CM087197.1	scaffold	1	1	473389				9	789163				3	59868				3	242980				1	279232	1590199	local:hprc_censat		
NA18747	hap2	2	NA18747_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3029714943	76	51.0	5601049.0				2	441630				5	1609718				2	11993				4	655638				6	534196	2335646	local:hprc_censat		
NA18971	hap2	2	NA18971_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3027062133	93	38.0	4528677.0				1	119062				8	651398				3	11993	NA18971#2#CM087290.1	scaffold	2	3	1173881	NA18971#2#CM087291.1	scaffold	3	3	1018908	1141099	local:hprc_censat		
NA18983	hap2	2	NA18983_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3031370631	98	53.0	6174755.0				10	1302148				10	2012855				2	601483				3	362238				2	465878	1228961	local:hprc_censat		
NA19043	hap2	2	NA19043_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3025972752	78	32.0	2833004.0				6	491644				7	427692				2	20266				3	335430	NA19043#2#CM087083.1	contig	0	1	141091	1404663	local:hprc_censat		
NA20905	hap2	2	NA20905_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3025539326	92	59.0	6618314.0				3	54087				6	481780				3	829808	NA20905#2#CM087517.1	contig	0	4	792416	NA20905#2#CM087518.1	contig	0	3	1296864	3151131	local:hprc_censat		
HG01530	hap2	2	HG01530_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3037300972	91	40.0	3733592.0				3	0				9	791401				5	13234				6	993914	HG01530#2#CM087566.1	contig	0	3	503281	1419543	local:hprc_censat		
HG01784	hap2	2	HG01784_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3019111824	72	31.0	3847669.0				2	230304				5	1895776				4	19439				1	3078	HG01784#2#CM087608.1	contig	0	1	364402	504777	local:hprc_censat		
HG02391	hap2	2	HG02391_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3051997551	70	39.0	8413825.0				2	997235				6	3258601				1	411381				2	149096				3	1235442	2028438	local:hprc_censat		
HG03471	hap2	2	HG03471_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3035030319	106	57.0	6338015.0				5	766232				2	247633				2	463027				4	1031925				2	643482	2721766	s3:working/HPRC/HG03471/assemblies/release2/annotation/censat/HG03471_hap2_hprc_r2_v1.cenSat.bed		
HG03742	hap2	2	HG03742_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3055805863	83	41.0	4802647.0	HG03742#2#CM087650.1	contig	0	1	187809				3	527725				1	363605				3	768139				9	2043637	899504	local:hprc_censat		
NA18570	hap2	2	NA18570_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3036370447	63	26.0	4338293.0				3	1276797	NA18570#2#CM087684.1	scaffold	1	1	698217	NA18570#2#CM087685.1	contig	0	0	288197				2	52375	NA18570#2#CM087690.1	contig	0	2	767805	1242674	local:hprc_censat		
NA19087	hap2	2	NA19087_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3039427434	73	42.0	7385835.0				4	1444580	NA19087#2#CM087714.1	contig	0	4	1761552	NA19087#2#CM087715.1	contig	0	1	960662				1	0	NA19087#2#CM087718.1	scaffold	1	2	768796	2438017	local:hprc_censat		
NA19185	hap2	2	NA19185_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3044112228	59	33.0	4223044.0	NA19185#2#CM087747.1	scaffold	1	0	320270	NA19185#2#CM087748.1	contig	0	8	1445769				4	11993				1	3079				6	1294584	1135121	local:hprc_censat		
NA19338	hap2	2	NA19338_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3047764672	75	37.0	3911934.0				3	640043				8	797458				2	152335	NA19338#2#CM087787.1	contig	0	1	675513				1	187470	1066267	local:hprc_censat		
NA19391	hap2	2	NA19391_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3038913885	71	30.0	4233290.0				2	74604	NA19391#2#CM087808.1	contig	0	0	374824				3	1397853				4	639864	NA19391#2#CM087814.1	contig	0	5	997444	736473	local:hprc_censat		
NA19468	hap2	2	NA19468_hap2_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3053766572	72	35.0	5651805.0				2	723843	NA19468#2#CM087840.1	contig	0	5	1053747				3	584040	NA19468#2#CM087845.1	contig	0	1	694474	NA19468#2#CM087846.1	scaffold	1	2	684102	1899380	local:hprc_censat		
HG00438	mat	2	HG00438_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3029865044	76	42.0	4159593.0				1	183752				3	222917				2	476447	HG00438#2#CM089202.1	contig	0	3	876887				4	748147	1639215	local:hprc_censat		
HG00558	mat	2	HG00558_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3039689402	70	21.0	1991217.0				7	271793	HG00558#2#CM088531.1	contig	0	1	472129	HG00558#2#CM088532.1	scaffold	2	0	100064				1	0				2	669732	465271	local:hprc_censat		
HG00639	mat	2	HG00639_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3035663863	80	41.0	4389744.0				3	0				7	2226466				2	563820				4	297630				2	196928	1092672	local:hprc_censat		
HG00658	mat	2	HG00658_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3024537228	58	25.0	2176625.0				1	3078				1	278718	HG00658#2#CM088805.1	contig	0	0	63354				2	886042				5	366357	566848	local:hprc_censat		
HG00673	mat	2	HG00673_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3021410523	62	26.0	1684363.0				5	289629				5	507201				1	152229				1	0				3	240857	482219	local:hprc_censat		
HG01071	mat	2	HG01071_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3023830629	76	44.0	3265968.0				2	281697				7	312236				2	65204				1	0	HG01071#2#CM089140.1	contig	0	1	509401	1578790	local:hprc_censat		
HG01074	mat	2	HG01074_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3027019044	71	41.0	4741409.0				3	323843				3	473184				1	64042				3	878071				2	985550	2007551	local:hprc_censat		
HG01081	mat	2	HG01081_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3046401627	69	45.0	6302311.0				2	327259				7	2400002				1	321845				2	140065				6	736832	2364080	local:hprc_censat		
HG01123	mat	2	HG01123_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3022226154	58	26.0	2379773.0				3	233685	HG01123#2#CM089104.1	scaffold	1	2	460935				2	198225	HG01123#2#CM089108.1	contig	0	0	763273	HG01123#2#CM089109.1	contig	0	2	274567	436860	s3:working/HPRC/HG01123/assemblies/release2/annotation/censat/HG01123_mat_hprc_r2_v1.cenSat.bed		
HG01150	mat	2	HG01150_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3032079274	56	27.0	3153178.0				2	215308				4	70300	HG01150#2#CM088621.1	contig	0	0	200762	HG01150#2#CM088626.1	contig	0	1	765622				4	1324002	564956	local:hprc_censat		
HG01252	mat	2	HG01252_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3036106664	75	34.0	4777232.0				2	506201				4	884016				3	172592				1	629530				2	275228	2300497	local:hprc_censat		
HG01358	mat	2	HG01358_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3037338744	81	42.0	3248839.0				2	277011				5	363083	HG01358#2#CM089075.1	scaffold	1	2	153849				5	513722	HG01358#2#CM089080.1	scaffold	1	1	603311	1328695	local:hprc_censat		
HG01361	mat	2	HG01361_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3037739883	87	49.0	4360491.0				2	143440				4	992247				1	241924				5	1187175	HG01361#2#CM089049.1	scaffold	1	2	625975	1157502	local:hprc_censat		
HG01928	mat	2	HG01928_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3038015365	71	36.0	3399320.0				1	225345				1	114408	HG01928#2#CM089011.1	scaffold	1	0	153349	HG01928#2#CM089017.1	contig	0	0	192692				3	361804	2339494	local:hprc_censat		
HG01934	mat	2	HG01934_mat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3020714045	87	50.0	3554388.0				1	114471				6	202165				3	426270				4	573562				2	105749	2119943	local:hprc_censat		
